Day,Category,Avg_Price,Avg_Reviews
26-Oct,Amazon Devices,84.42,45105
26-Oct,Computers/Accessories,136.89,14503
26-Oct,Movies & TV,28.08,9093
26-Oct,Toys & Games,23.45,11305
27-Oct,Amazon Devices,83.07,44764
27-Oct,Computers/Accessories,138.90,9814
27-Oct,Fashion,15.29,19780
27-Oct,Movies & TV,13.01,17219
27-Oct,Toys & Games,19.68,12135
28-Oct,Amazon Devices,100.45,43818
28-Oct,Computers/Accessories,138.93,9992
28-Oct,Fashion,15.28,19902
28-Oct,Movies & TV,23.11,11568
28-Oct,Toys & Games,19.12,11029
29-Oct,Amazon Devices,93.30,42778
29-Oct,Computers/Accessories,139.64,9849
29-Oct,Fashion,15.09,20039
29-Oct,Movies & TV,23.17,11638
29-Oct,Toys & Games,19.68,11106
30-Oct,Amazon Devices,93.43,44486
30-Oct,Computers/Accessories,140.52,10157
30-Oct,Fashion,14.96,20402
30-Oct,Movies & TV,23.21,11851
30-Oct,Toys & Games,10.03,11491
31-Oct,Amazon Devices,90.36,44599
31-Oct,Computers/Accessories,137.62,10168
31-Oct,Fashion,15.27,20533
31-Oct,Movies & TV,23.17,12121
31-Oct,Toys & Games,19.18,12914
1-Nov,Amazon Devices,90.93,45274
1-Nov,Computers/Accessories,135.67,10546
1-Nov,Fashion,15.54,20755
1-Nov,Movies & TV,23.16,11183
1-Nov,Toys & Games,19.37,12718